Num_Theatres_Widest,Num_Theatres_Opening,Franchise_Raw,Google_Trends,sentiment,metacritics,director_nom,director_win,numNominatedActors,numWinningActors,totNumNom,totNumWins,Adjusted Budget,Adjusted Worldwide,Adjusted Domestic,runtime,male_18_29_ratings,male_30_44_ratings,male_45_plus_ratings,female_18_29_ratings,female_30_44_ratings,female_45_plus_ratings,Adventure,Action,Animation,Family,Science Fiction,Comedy,Drama,Romance,Horror,Mystery,Documentary,Music,Thriller,Crime,War,total_language,total_countries,PG-13,PG,R,G,NC-17,NR,Mon,Tue,Wed,Thurs,Fri,Sat,Sun,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2235,2179,0,3,-0.8481,89,0,0,1,0,2,0,21.1750306,70.7246022,4.010255361,127,7.6,7.3,7.3,7.7,7.5,7.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2896,2896,0,4,0.7787,30,0,0,0,0,0,0,21.1750306,36.73867809,3.209826434,103,6.4,5.8,5.7,6.6,6.1,6.2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3465,3465,0,5,-0.3818,39,0,0,2,0,2,0,21.1750306,106.4045288,4.493841946,97,4.6,4.6,4.6,5.5,5.5,5.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
653,645,0,1,0,81,1,0,3,1,5,1,21.1750306,15.56364749,2.148954474,148,7,6.5,6.2,6.5,6.2,6.5,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
828,818,0,0,-0.9286,79,0,0,2,0,3,0,21.1750306,12.70501836,1.797556587,125,7.2,6.9,6.9,6.9,6.7,7,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1474,1144,0,2,0.4404,96,1,0,6,1,8,1,21.27921279,199.7054121,4.099772608,134,8.2,8,7.8,8.2,8,8.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1553,1551,1,0,0.7783,81,0,0,1,0,1,0,21.27921279,49.04858549,3.320094935,109,7.2,6.8,6.7,7,6.8,6.8,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,0,0,-0.6249,40,0,0,0,0,0,0,21.27921279,28.9397294,-6.845756881,85,5.8,5.6,5.7,6.2,5.6,6.2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008,2008,0,1,0.2624,29,0,0,0,0,0,0,21.27921279,17.55535055,2.248049674,110,5.1,4.4,4.1,5.9,5.3,5.9,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3402,3402,1,3,-0.9022,11,0,0,0,0,0,0,21.27921279,83.41451415,3.5277343,86,3.6,3.3,3.6,4,3.5,3.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
443,4,0,3,0.296,61,0,1,0,0,0,0,21.27921279,25.85424354,0.89490752,101,7.1,6.8,6.6,7.3,7,6.8,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1743,1707,0,0,-0.6154,58,0,0,3,1,6,1,21.33666667,37.368,3.060427033,100,6.4,6.4,6.4,6.2,6.3,6.4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
