Num_Theatres_Widest,Num_Theatres_Opening,Franchise_Raw,Google_Trends,sentiment,metacritics,director_nom,director_win,numNominatedActors,numWinningActors,totNumNom,totNumWins,Adjusted Budget,Adjusted Worldwide,Adjusted Domestic,runtime,male_18_29_ratings,male_30_44_ratings,male_45_plus_ratings,female_18_29_ratings,female_30_44_ratings,female_45_plus_ratings,Adventure,Action,Animation,Family,Science Fiction,Comedy,Drama,Romance,Horror,Mystery,Documentary,Music,Thriller,Crime,War,total_language,total_countries,PG-13,PG,R,G,NC-17,NR,Mon,Tue,Wed,Thurs,Fri,Sat,Sun,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
3453,3264,0,#N/A,-0.5413,59,0,0,2,0,4,0,107.1944923,607.7332186,5.827324379,106,6.9,6.7,6.6,6.7,6.7,7.1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2840,2840,0,#N/A,0.2732,47,0,0,0,0,0,0,107.5870647,73.3026534,3.791568494,116,5.6,5.2,5.3,5.8,5.3,5.5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2910,2910,0,4,0.2263,58,0,0,0,0,0,0,107.7402135,137.1892052,3.386137936,114,7.3,7.2,7,7.2,7.2,7.3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2814,2758,0,2,-0.2732,62,0,0,3,2,4,3,107.9563183,219.826053,4.586041435,128,6.5,6.4,6.5,6.6,6.5,6.7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
816,816,0,0,-0.5792,24,0,0,1,0,2,0,107.9563183,15.78861154,0.941553936,110,4.2,3.9,4.5,5.2,4.4,5.3,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
920,819,0,1,-0.9337,48,0,0,1,0,1,0,107.9563183,14.57410296,2.622087771,132,6.8,6.6,6.8,7,6.9,7.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023,2002,0,2,-0.5267,33,0,0,1,0,1,0,108.125,41.11264535,2.896168875,84,6.7,6.5,6.2,7,6.6,6.4,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3466,3462,0,0,0.5994,54,0,0,0,0,0,0,108.4261838,240.8266017,4.791430124,113,5.7,5.5,5.3,5,5,5.2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3847,3847,0,1,0.4215,62,0,0,2,0,2,0,108.4261838,196.1309192,4.451752756,95,6.4,6.5,6.7,6.7,6.7,6.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3012,3010,0,5,0.5574,81,1,0,4,3,7,4,108.6683417,462.2751256,5.175652775,165,8.6,8.3,8,8.5,8.3,8.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
